year,employer_has_discussed_mh_formally,employer_has_mh_resources_and_options,anonymity_guaranteed,difficulty_asking_for_mh_related_medical_leave,comfortable_discussing_mh_with_coworkers,comfortable_discussing_mh_with_supervisors,has_medical_coverage_mhd_included,knows_local_or_online_mhd_resources,revealed_mhd_to_clients_or_business_contacts,negative_impact_of_revealing_mhd_to_clients_contacts,productivity_affected_by_mh,percentage_of_work_time_affected_by_mh,prev_employer_provided_mh_coverage,knew_prev_employer_mh_coverage_options,prev_employer_discussed_mh_formally,prev_employer_had_mh_resources_and_options,prev_employer_anonymity_guaranteed,comfortable_discussing_mh_with_prev_coworkers,comfortable_discussing_mh_with_prev_supervisors,willing_to_bring_up_ph_in_interview_y_n,willing_to_bring_up_ph_in_interview_y_n_reason,willing_to_bring_up_mh_in_interview_y_n,willing_to_bring_up_mh_in_interview_y_n_reason,observed_or_experienced_unsupportiveness_or_bad_response,observations_of_response_to_mhd_of_others_made_less_likely_to_reveal
2018,I don't know,Yes,Yes,Neither easy nor difficult,Maybe,Yes,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always","Yes, at all of my previous employers","Yes, all of my previous supervisors",Maybe,NA,Maybe,NA,"Yes, I experienced",No
2018,No,I don't know,I don't know,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,NA,Maybe,NA,Maybe/Not sure,Maybe
2018,No,Yes,I don't know,Somewhat difficult,Yes,No,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,I don't know,At some of my previous employers,Some of my previous supervisors,No,I'm concerned it would bias them against hiring me,No,Concern for bias,Maybe/Not sure,No
2018,NA,NA,NA,NA,NA,NA,1,I know some,"No, because it would impact me negatively",N/A,Yes,26-50%,Some did,I was aware of some,Some did,Some did,"Yes, always",At some of my previous employers,"No, none of my previous supervisors",No,"Unless it was going to be a factor for my ability to work, I would not want to risk any negative consequences.",No,"Unless it was going to be a factor for my ability to work, I would not want to risk any negative consequences.",Maybe/Not sure,No
2018,No,No,I don't know,Difficult,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,No,NA,Maybe/Not sure,Yes
2018,No,No,I don't know,Somewhat difficult,No,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,NA,No,I would be scared of not getting hired.,"Yes, I observed",No
2018,No,I don't know,I don't know,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,Some did,Sometimes,At some of my previous employers,Some of my previous supervisors,Yes,I might require that I miss work or work from home,No,Stigma,Maybe/Not sure,No
2018,No,Yes,Yes,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,Some did,I don't know,At some of my previous employers,Some of my previous supervisors,Yes,NA,No,NA,"Yes, I observed",No
2018,NA,NA,NA,NA,NA,NA,0,"No, I don't know any","No, because it would impact me negatively",N/A,Yes,26-50%,Some did,I was aware of some,None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,No,It would put me in a bad light. No one wants troubles.,No,It would put me in a bad light. No one wants troubles.,No,Maybe
2018,No,No,No,Difficult,Maybe,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,No,"No, at none of my previous employers","No, none of my previous supervisors",Yes,NA,Maybe,NA,No,N/A
2018,Yes,Yes,Yes,I don't know,No,No,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,NA,Maybe,"I’m not sure, probably would bring it up.",No,N/A
2018,Yes,Yes,Yes,Very easy,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"To get appropriate support e.g. ergonomic kit, accessible space, etc.",No,I'd be afraid they would discriminate,Maybe/Not sure,No
2018,No,No,No,Difficult,No,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,No,"No, at none of my previous employers","No, none of my previous supervisors",No,"they would not hire me if i did, and it would damage my reputation for other opportunities",No,"they would not hire me if i did, and it would damage my reputation for other opportunities","Yes, I observed",Yes
2018,NA,NA,NA,NA,NA,NA,0,"Yes, I know several","No, because it would impact me negatively",Yes,Yes,26-50%,NA,NA,NA,NA,NA,NA,NA,No,It does not matter as long as it does not affect my work,No,It is none of their concern as long as it does not affect my work,I've always been self-employed,Yes
2018,No,I don't know,Yes,Very easy,Yes,No,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,None did,I don't know,At some of my previous employers,"Yes, all of my previous supervisors",No,I would be concerned about prejudice.,No,I would be concerned about judgment and bias.,No,No
2018,No,No,I don't know,Very easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),Some did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,"In France, if you are recognized as worker with mental, sensorial or health disorder (RQTH). Your employer can benefit tax cuts. This is in order to balance the weakened ability to find or keep a job.  
https://www.service-public.fr/particuliers/vosdroits/F1650",Maybe,If I where officially recognized as worker with handicap. (see answer d.),No,N/A
2018,No,No,I don't know,Somewhat difficult,Maybe,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,None of their business,No,Afraid I wouldn't be considered,No,Maybe
2018,No,I don't know,I don't know,Difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,"If it's something I'd need accommodation for, I'd bring it up. Otherwise no.",No,Discrimination against me for having ADHD would probably discourage me from discussing it.,Maybe/Not sure,Maybe
2018,No,Yes,Yes,Somewhat difficult,Maybe,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,NA,No,Stigma,No,No
2018,NA,NA,NA,NA,NA,NA,0,"No, I don't know any",Not applicable to me,N/A,No,NA,"Yes, they all did","No, I only became aware later",None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,Depends on what it is and whether it's likely to affect job performance or if it's any of employer's business.,Maybe,Depends on whether it's likely to affect job performance or if it's any of employer's business.,No,N/A
2018,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,"Yes, they all did",N/A (was not aware),None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,No,"I'd be judged negatively. Interviewer only want ""happy"" talk,",No,NA,"Yes, I observed",No
2018,No,I don't know,Yes,I don't know,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,Maybe,Unsure of there response.,No,Don't want them to think it would affect my ability to do my job.,No,Yes
2018,Yes,No,Yes,I don't know,Yes,Yes,NA,NA,NA,NA,NA,NA,I don't know,N/A (none offered),None did,None did,No,At some of my previous employers,Some of my previous supervisors,Yes,NA,Maybe,NA,No,No
2018,No,No,I don't know,Somewhat easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,"No, none did",N/A (was not aware),None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,No,"Prejudice , and a bit of shame I think",No,Shame,"Yes, I observed",Maybe
2018,No,I don't know,I don't know,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,Yes,Because many companies are either accommodating to physical issues or even required to make accommodations for them,Maybe,It’s feels as though society still has a fair degree of skepticism for mental health issues,No,No
2018,NA,NA,NA,NA,NA,NA,0,I know some,Not applicable to me,N/A,Not applicable to me,NA,Some did,N/A (was not aware),None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,For fear of bias based on it.,Maybe,Fear of being biased based on it.,No,No
2018,No,I don't know,Yes,Somewhat easy,Yes,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,Some did,"Yes, always",At some of my previous employers,"Yes, all of my previous supervisors",Maybe,NA,No,Stigma,No,No
2018,No,Yes,I don't know,Difficult,No,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,Some did,Sometimes,At some of my previous employers,Some of my previous supervisors,No,It could affect my ability to get a job.,No,Same as above.,"Yes, I observed",Maybe
2018,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,"No, I only became aware later",None did,None did,No,"No, at none of my previous employers","No, none of my previous supervisors",No,mostly not knowing when in an interview process it's appropriate to bring up health and mental health. Should it wait until I have an offer? Would it put off a potential boss if I seem demanding or difficult?,No,"I don't want to assume it will interfere with work, and dont want to seem like a difficult hire","Yes, I observed",Yes
2018,No,I don't know,Yes,Very easy,Yes,Yes,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",At some of my previous employers,"No, none of my previous supervisors",No,Discrimination,No,Discrimination,No,Maybe
2018,Yes,Yes,Yes,Somewhat easy,Yes,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),I don't know,Some did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,"If it directly impacted my job, I would be more willing to divulge such information. But I would be wary of perceived or actual judgment and/or discrimination at the hands of my employer. This discrimination could be very implicit, e.g. - exclusion from important conversations pertinent to my job, exclusion from outside colleague gatherings (happy hours, lunches, etc.).",No,"Mental health concerns still seem more stigmatized than physical health concerns, particularly  in a very ""chicken or egg"" way - what I mean by that is, is mental health still stigmatized in the workplace because employees don't vocalize their issues or concerns, or is it stigmatized because employees DO bring up these concerns and employers don't actively provide solutions to help solve the problem? I suspect the latter.","Yes, I experienced",No
2018,No,Yes,Yes,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, they all did","Yes, always",At some of my previous employers,Some of my previous supervisors,No,"Only if the issue were applicable under the ADA; otherwise, it should not be discussed in the interview.",No,"Because that seems guaranteed to exclude one from getting the job, regardless of what may or may not be protected by the ADA.",No,N/A
2018,NA,NA,NA,NA,NA,NA,1,"Yes, I know several","No, because it doesn't matter",N/A,Not applicable to me,NA,"Yes, they all did",I was aware of some,None did,None did,"Yes, always","No, at none of my previous employers",Some of my previous supervisors,Maybe,It's likely to be irrelevant,No,I no longer have PTSD,"Yes, I observed",N/A
2018,No,No,Yes,Somewhat easy,No,No,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,"I would avoid it unless they specifically asked about physical health issues. If they asked, I would hedge and minimize it.",No,"There is so much prejudice against anything ""mental health"" related that I would fear being rejected simply by mentioning it.
The real question is ""can I do the job"" and the prospective employer doesn't need to know the specifics & details about my mental health issues.","Yes, I observed",N/A
2018,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,"No, none did","No, I only became aware later",Some did,"Yes, they all did",I don't know,"Yes, at all of my previous employers",Some of my previous supervisors,No,I feel like it would lessem my chances of getting hired,No,I feel it would decrease my chances of getting hired,"Yes, I experienced",Yes
2018,No,I don't know,Yes,Somewhat difficult,Yes,Yes,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,Yes,I don't have any choice - there's lots of things I can't do and my disability is invisible,Maybe,"I'm not required to disclose it and since I already don't ""look"" right, don't want to give people more reason to doubt me","Yes, I observed",No
2018,NA,NA,NA,NA,NA,NA,1,"Yes, I know several",Not applicable to me,N/A,Yes,1-25%,I don't know,N/A (none offered),None did,None did,I don't know,"Yes, at all of my previous employers","Yes, all of my previous supervisors",Maybe,NA,Maybe,NA,No,No
2018,Yes,Yes,Yes,Very easy,Yes,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,No,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,NA,No,NA,Maybe/Not sure,Maybe
2018,I don't know,I don't know,Yes,Somewhat difficult,Maybe,Yes,NA,NA,NA,NA,NA,NA,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,Maybe,NA,No,NA,Maybe/Not sure,Maybe
2018,No,No,I don't know,I don't know,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,No,"It's too easy to discriminate at the interview level, discussing any issues would open up to rejection on those grounds.",No,Same as physical - it's too easy to discriminate during the interview phase,"Yes, I experienced",Maybe
2018,No,I don't know,I don't know,Somewhat easy,Yes,Yes,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),I don't know,None did,I don't know,"Yes, at all of my previous employers","Yes, all of my previous supervisors",Maybe,I'm not sure they I want to share it with anyone I just met,Maybe,I'm not sure they I want to share it with anyone I just met,Maybe/Not sure,No
2018,NA,NA,NA,NA,NA,NA,1,I know some,"No, because it doesn't matter",Yes,Yes,26-50%,NA,NA,NA,NA,NA,NA,NA,Maybe,I would not bring up a physical health issue in an interview because it's too much a personal thing.,No,I would not bring up a physical health issue in an interview because it's too much a personal thing.,No,Maybe
2018,No,No,I don't know,I don't know,Maybe,No,NA,NA,NA,NA,NA,NA,Some did,N/A (was not aware),None did,Some did,No,At some of my previous employers,Some of my previous supervisors,No,"Unless it affected my ability to my job, it would be irrelevant",Yes,If it might affect my ability to my job,"Yes, I experienced",Maybe
2018,Yes,Yes,Yes,Somewhat difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,Some did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,None of their business,No,None of their business,Maybe/Not sure,Yes
2018,NA,NA,NA,NA,NA,NA,0,I know some,"No, because it would impact me negatively",Yes,Yes,26-50%,NA,NA,NA,NA,NA,NA,NA,Maybe,Someone may be physically challenged but mentally can be strong to do any particular job.,Maybe,Some one mentally sick may not produce proper outcome.,"Yes, I experienced",Maybe
2018,No,No,I don't know,I don't know,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,No,"People have not been very kind about physical health issues, so I've learned to stop taking about it.",No,"Employers are crappy about mental health issues (and I may have been fired because of it), so I have no desire to bring it up in an interview.","Yes, I experienced",Maybe
2018,Yes,I don't know,I don't know,Very easy,No,Yes,NA,NA,NA,NA,NA,NA,"No, none did",N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,NA,No,NA,Maybe/Not sure,N/A
2018,I don't know,Yes,Yes,Somewhat easy,Yes,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),I don't know,Some did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,In some respects all of my health is my personal business.  I am not comfortable sharing it until I know the people and the environment.  As long as I can be honest with myself and feel that work will not be affected.,No,Again I need to feel comfortable with those around me first.  When treated properly my mental health does not affect my work.,No,No
2018,No,No,Yes,Very easy,No,No,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,"If it is not effecting my job, I see not point in bringing it up.",No,"If it is not effecting my job, I see no point in bringing it up.",No,No
2018,Yes,Yes,Yes,Very easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",At some of my previous employers,"No, none of my previous supervisors",Maybe,It might impact if I were to be hired or not.,No,It's way too personal.,"Yes, I experienced",No
2018,NA,NA,NA,NA,NA,NA,1,"Yes, I know several","No, because it would impact me negatively",N/A,Yes,51-75%,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,No,Discrimination is a thing.,No,Discrimination is a thing.,"Yes, I observed",N/A
2018,No,No,I don't know,I don't know,Yes,Yes,NA,NA,NA,NA,NA,NA,"Yes, they all did",I was aware of some,Some did,None did,No,At some of my previous employers,Some of my previous supervisors,Yes,I want to get the accommodations that I need to do my job well. Cannot get those if you are not honest.,Yes,"If I need accommodations in the future, I don't want my employer to think I am lying. If I tell them proactively, they cannot claim later that they did not know this was a legit issue for me","Yes, I experienced",Yes
2018,No,No,I don't know,Neither easy nor difficult,Yes,Yes,NA,NA,NA,NA,NA,NA,Some did,"No, I only became aware later",None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,i dont want to be pigeonholed,No,I dont want to be pigeonholed,"Yes, I observed",Yes
2018,NA,NA,NA,NA,NA,NA,1,"Yes, I know several","Yes, always",No,Yes,1-25%,"No, none did",N/A (was not aware),I don't know,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,Would likely only bring it up if it would impact my job performance.,Yes,Wouldn't want to work for an employer who isn't cool with my diagnosis. I'm very privileged that I have many work options available.,Maybe/Not sure,N/A
2018,Yes,Yes,I don't know,I don't know,Yes,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,Some did,Some did,Sometimes,"No, at none of my previous employers",Some of my previous supervisors,Maybe,"If I thought I was otherwise qualified for the job, and revealing the health issue would not increase my chances of getting the job, then I wouldn't bother revealing it. What would be the possible upside of that decision?",No,"Too much stigma in society, too few people trained not to fear it, too many undiagnosed people judging those who have been diagnosed.",Maybe/Not sure,No
2018,NA,NA,NA,NA,NA,NA,1,"Yes, I know several","Sometimes, if it comes up",No,Yes,1-25%,I don't know,I was aware of some,Some did,Some did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,NA,Maybe,NA,No,No
2018,Yes,Yes,Yes,Somewhat easy,Maybe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,NA,No,NA,"Yes, I observed",Maybe
2018,Yes,No,I don't know,Somewhat easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,"No, none did",I was aware of some,None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,It's a negative concern,No,"In an interview? If you're trying to get a job, the last thing you want to do is throw red flags. I suppose I would ask something along the lines of, how important is openness re: mental health in this workplace",Maybe/Not sure,No
2018,Yes,Yes,Yes,I don't know,Yes,Yes,NA,NA,NA,NA,NA,NA,Some did,"Yes, I was aware of all of them",None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,I'd be afraid that mentioning a disability so early on would make them see me as high maintenance.,No,I'd be afraid that mentioning a disability so early on would make them see me as high maintenance.,"Yes, I observed",Yes
2018,Yes,Yes,I don't know,Very easy,Yes,Yes,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,No,At some of my previous employers,Some of my previous supervisors,Maybe,"I'm not sure, I've never had one to disclose, so I'm not sure how I'd feel about it. I guess if it interfered with the job role I took on, I would disclose it",No,"There's still a lot of stigma, I don't want to be unfairly judged. I don't want to look like I'm being overdramatic/oversharing by bringing it up in an interview.",No,No
2018,NA,NA,NA,NA,NA,NA,0,I know some,Not applicable to me,N/A,Yes,1-25%,Some did,I was aware of some,None did,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,Maybe,NA,Maybe,NA,"Yes, I observed",Yes
2018,NA,NA,NA,NA,NA,NA,1,"Yes, I know several","No, because it would impact me negatively",N/A,Yes,1-25%,"No, none did",N/A (none offered),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,NA,No,NA,"Yes, I observed",N/A
2018,NA,NA,NA,NA,NA,NA,1,"Yes, I know several",Not applicable to me,N/A,Yes,1-25%,Some did,I was aware of some,Some did,Some did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,"Depends what it is. If I would need different working environment etc. then yes, if not no.",Maybe,"Again, depends what it is if I'd need adjustments made to work environment or anything.",No,N/A
2018,No,Yes,I don't know,Difficult,Yes,No,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,Some did,I don't know,"Yes, at all of my previous employers",Some of my previous supervisors,No,I expect that discussing a physical health issue would have a somewhat negative impact on my chance of getting the job.,No,I expect that discussing a mental health issue would guarantee a negative impact on my chance of getting the job.,"Yes, I experienced",No
2018,No,No,I don't know,I don't know,No,Yes,NA,NA,NA,NA,NA,NA,Some did,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,"Physical issues are traditionally easier to accomodate and I could prove that I can still do the job while having physical health issues.  It's way harder to ask for mental accomodations without couching them in certain ways, and I usually ask about them in the context of general benefits",No,People are aggressively biased against it and accomodations are harder to get,"Yes, I observed",Yes
2018,No,I don't know,I don't know,Very easy,Yes,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,At some of my previous employers,"No, none of my previous supervisors",Maybe,I feel I have enough bias against me as it is so I would be hesitant,No,I don't think potential employers want to hire people who say they have mental health issues,"Yes, I observed",Yes
2018,No,Yes,I don't know,Somewhat easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,Some did,I don't know,"No, at none of my previous employers",Some of my previous supervisors,Maybe,"It depends on the physical health issue and how it would interact with the job. Generally speaking, no, but if I needed accommodations, yes.",Maybe,"Similarly, if I needed accommodations, I would be more likely to. I feel I'd be less likely to discuss a mental health issue, but I've not had a severe mental or physical health issue to know how I'd act for sure.",No,N/A
2018,No,I don't know,I don't know,I don't know,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,N/A (was not aware),None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,It would depend on how relevant it was to the role.,Maybe,NA,Maybe/Not sure,No
2018,No,I don't know,I don't know,Somewhat difficult,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,NA,No,NA,No,N/A
2018,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe,NA,Maybe,NA,No,N/A
2018,Yes,Yes,Yes,Somewhat easy,Yes,Maybe,NA,NA,NA,NA,NA,NA,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,May not be relevant to the job.,Maybe,May not be relevant to the job.,"Yes, I observed",Maybe
2018,NA,NA,NA,NA,NA,NA,0,"Yes, I know several",Not applicable to me,N/A,No,NA,Some did,I was aware of some,Some did,Some did,Sometimes,"No, at none of my previous employers",I don't know,Maybe,"It shouldn't be relevant to the work I would do (remote). At the same time, discrimination is still very common.",No,Discrimination would be almost certain in this case.,"Yes, I observed",Yes
2018,No,No,Yes,Somewhat easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Yes,NA,Maybe,NA,No,N/A
2018,Yes,Yes,Yes,Very easy,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"I don't think there's anything to be gained from hiding it. If that place wouldn't hire you because of it (and it wouldn't affect your performance, which is unlikely in tech), they don't deserve to have me work there anyway.",Yes,"I don't think there's anything to be gained from hiding it. If that place wouldn't hire you because of it (and it wouldn't affect your performance), they don't deserve to have me work there anyway.",No,No
2018,Yes,Yes,Yes,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,Some did,"No, I only became aware later",None did,None did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,I don't want a potential employer to think that I wouldn't be able to do my job or would miss a lot of work.,No,I would want my potential employer to be thinking about my strengths and I don't think they would understand that dealing with my mental health issues has made me stronger. I wouldn't want them to think that there was anything hanging over my head that would interfere with me doing my job or fitting in in the workplace.,Maybe/Not sure,No
2018,No,Yes,Yes,Somewhat easy,Maybe,Yes,NA,NA,NA,NA,NA,NA,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,No,"Would depend on if it were relevant to the position. If it were relevant, I'd bring it up. Mostly though, it would not matter.",No,The social stigma around mental health makes me leery discussing it with employers until I'm at least somewhat aware of how they'll react.,Maybe/Not sure,No
2018,No,No,Yes,Somewhat easy,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,I was aware of some,None did,Some did,I don't know,"No, at none of my previous employers",Some of my previous supervisors,Maybe,Because of the type of implies no mental defects,Maybe,If I feel I would be judged fairly.,No,No
2018,No,I don't know,I don't know,Very easy,No,No,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,No,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,Depends on the employer.,No,"The following thought - "" I am already judged for my skin color and geo-location. Why would I want to _reduce_ my chances of getting employed.""

I know some employers are open and supportive but Its really hard for me to trust people openly especially about mental issues as the IT jobs are entirely dependent on mental performance.",No,No
2018,No,I don't know,I don't know,Difficult,No,No,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",No,They discriminate even if it's illegal.,No,They assume all mental illness = serial killers.,No,N/A
2018,Yes,Yes,I don't know,Very easy,Yes,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),I don't know,None did,I don't know,"No, at none of my previous employers",I don't know,No,I don't trust companies to not hold it against me,No,I don't trust companies to not hold it against me,No,N/A
2018,I don't know,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,"No, I only became aware later",I don't know,Some did,I don't know,At some of my previous employers,Some of my previous supervisors,Maybe,NA,No,NA,"Yes, I observed",No
2018,NA,NA,NA,NA,NA,NA,1,I know some,Not applicable to me,N/A,Not applicable to me,NA,Some did,N/A (was not aware),Some did,Some did,I don't know,At some of my previous employers,"Yes, all of my previous supervisors",No,It could hurt my chances of being hired,No,It could hurt my chances of being hired,No,N/A
2018,No,No,I don't know,Somewhat difficult,Maybe,Maybe,NA,NA,NA,NA,NA,NA,Some did,N/A (was not aware),None did,None did,I don't know,At some of my previous employers,I don't know,No,NA,No,NA,No,No
2018,No,I don't know,Yes,Neither easy nor difficult,Maybe,Yes,NA,NA,NA,NA,NA,NA,"No, none did",N/A (none offered),None did,None did,"Yes, always",At some of my previous employers,I don't know,Yes,NA,Maybe,It would depend on the employer,Maybe/Not sure,Maybe
2018,No,No,I don't know,Somewhat easy,Yes,Yes,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,At some of my previous employers,"No, none of my previous supervisors",Yes,"I try and be pretty open and honest with people, and I think I would be with a potential employer if it was relevant.",Maybe,"I'm not really sure. I feel like it would be a very uncomfortable situation, but if it seemed necessary I would like to think that I could bring it up.",No,No
2018,No,No,Yes,Very easy,No,Maybe,NA,NA,NA,NA,NA,NA,I don't know,N/A (was not aware),None did,None did,I don't know,"No, at none of my previous employers","No, none of my previous supervisors",Maybe,I think that I would probably mention anything relevant to the job that I may need. I’m not sure into how much detail i would discuss it. I would not consider a potential employer that would not accommodate a potential physical need,No,I am afraid of how to be honest enough with a medical professional about my personal life so until I overcome this I could not attempt to discuss my inner thoughts about myself to a potential employer. I realize this is dishonest of me as a potential employee.,Maybe/Not sure,No
2018,No,No,Yes,Very easy,Yes,Yes,NA,NA,NA,NA,NA,NA,"No, none did","No, I only became aware later",None did,Some did,"Yes, always",At some of my previous employers,Some of my previous supervisors,Yes,NA,No,NA,"Yes, I observed",No
